step,episode_reward,episode_length,world_model_loss
200,-114.57708757222836,200,
400,-7.439806930224825,200,
600,-5.992984431772741,200,
600,,,4.765361785888672
800,-9.507095890919167,200,
800,,,4.243872165679932
1000,-10.124730561494061,200,
1000,,,3.458021402359009
1200,-8.598882968657016,200,
1200,,,134.1485137939453
1400,-9.037551420518223,200,
1400,,,4.128635883331299
1600,-8.632991605905502,200,
1600,,,3.617295026779175
1800,-16.954727252014756,200,
1800,,,133.92977905273438
2000,-9.857102823049802,200,
2000,,,3.579564094543457
2200,-9.399746144967306,200,
2200,,,3.5654094219207764
2400,-15.559012675214117,200,
2400,,,3.3407676219940186
2600,-9.628246555618482,200,
2600,,,3.2610762119293213
2800,-8.753407525648633,200,
2800,,,3.334484815597534
3000,-12.651855367640772,200,
3000,,,3.3850715160369873
3200,-11.195559553003847,200,
3200,,,3.326524496078491
3400,-11.385769340942474,200,
3400,,,133.14149475097656
3600,-9.830382442346982,200,
3600,,,2.8317413330078125
3800,-8.1071699205136,200,
3800,,,2.9085617065429688
4000,-11.453250275103334,200,
4000,,,2.9670135974884033
4200,-14.256360546675296,200,
4200,,,2.9388251304626465
4400,-13.204980996262071,200,
4400,,,2.859607458114624
4600,-8.933509293720256,200,
4600,,,2.733876943588257
4800,-7.006380220805638,200,
4800,,,3.1005301475524902
5000,-13.951616333231645,200,
5000,,,2.7373461723327637
5200,-10.67187661500999,200,
5200,,,2.694866180419922
5400,-14.232064173730231,200,
5400,,,2.0131099224090576
5600,-9.131508320399448,200,
5600,,,2.3390252590179443
5800,-10.18100952358655,200,
5800,,,2.5396783351898193
6000,-8.25858198944628,200,
6000,,,2.310549736022949
6200,-13.670589880702536,200,
6200,,,2.3629701137542725
6400,-8.867553294243416,200,
6400,,,2.3351948261260986
6600,-16.79646371891492,200,
6600,,,2.0591890811920166
6800,-15.509123055489423,200,
6800,,,1.7077442407608032
7000,-7.2314916533693205,200,
7000,,,2.3005247116088867
7200,-7.859608375051152,200,
7200,,,1.8736740350723267
7400,-10.77123900730458,200,
7400,,,1.7927500009536743
7600,-8.758355301896758,200,
7600,,,1.820483684539795
7800,-16.15567315557475,200,
7800,,,1.6996368169784546
8000,-7.96469773914797,200,
8000,,,1.4106372594833374
8200,-14.512921764883234,200,
8200,,,1.4915361404418945
8400,-14.262346627504716,200,
8400,,,1.721677303314209
8600,-15.159135960714975,200,
8600,,,1.5427182912826538
8800,-14.673487199448674,200,
8800,,,1.5166523456573486
9000,-10.243821663626829,200,
9000,,,1.932822823524475
9200,-13.13725601504257,200,
9200,,,1.2759151458740234
9400,-6.997960024778442,200,
9400,,,1.6715922355651855
9600,-8.304293437084619,200,
9600,,,1.360627293586731
9800,-7.390783452847638,200,
9800,,,1.840946078300476
10000,-10.99205052215062,200,
10000,,,1.5902554988861084
