step,episode_reward,episode_length,world_model_loss
200,-40.31073651373445,200,
400,-8.881415179277539,200,
600,-5.21308870827225,200,
600,,,9.135459899902344
800,-9.330568269743537,200,
800,,,8.402799606323242
1000,-4.900842981791655,200,
1000,,,8.11689567565918
1200,-9.372770812198212,200,
1200,,,7.084469318389893
1400,-6.762189692082039,200,
1400,,,6.090729713439941
1600,-8.202696882172837,200,
1600,,,5.05330228805542
1800,-13.273232726860835,200,
1800,,,3.854543685913086
2000,-9.54349698072018,200,
2000,,,3.2047619819641113
2200,-8.648422787989858,200,
2200,,,2.32429575920105
2400,-6.559690680182076,200,
2400,,,2.403824806213379
2600,-12.294299623545042,200,
2600,,,2.1934096813201904
2800,-7.634838207011867,200,
2800,,,2.029716730117798
3000,-12.14469265051574,200,
3000,,,1.8238781690597534
3200,-7.694928484601045,200,
3200,,,2.107520580291748
3400,-9.828170519241787,200,
3400,,,2.2791030406951904
3600,-7.189767107850224,200,
3600,,,1.9777745008468628
3800,-15.340012002601378,200,
3800,,,1.4547996520996094
4000,-9.461488201813404,200,
4000,,,1.6388274431228638
4200,-8.754955603427177,200,
4200,,,1.8308004140853882
4400,-8.832771993678977,200,
4400,,,1.6523997783660889
4600,-11.252713250457004,200,
4600,,,1.7449228763580322
4800,-6.552119457263991,200,
4800,,,1.763188123703003
5000,-12.829502377828838,200,
5000,,,1.5400363206863403
5200,-9.367091139543172,200,
5200,,,1.5103542804718018
5400,-11.39725425928433,200,
5400,,,1.7560653686523438
5600,-12.430372753628973,200,
5600,,,1.852029800415039
5800,-11.426725739049923,200,
5800,,,1.6060618162155151
6000,-13.182157781421559,200,
6000,,,1.5112372636795044
6200,-10.542147774663416,200,
6200,,,1.4670875072479248
6400,-7.924849238827264,200,
6400,,,1.5076799392700195
6600,-12.01795557969917,200,
6600,,,1.5273810625076294
6800,-11.910173819572643,200,
6800,,,1.4826655387878418
7000,-12.08007933071869,200,
7000,,,1.5554465055465698
7200,-12.94634083039525,200,
7200,,,1.587599515914917
7400,-15.915429214377385,200,
7400,,,1.2777312994003296
7600,-9.779345665122179,200,
7600,,,1.2725614309310913
7800,-12.023491736645722,200,
7800,,,1.3395816087722778
8000,-13.592977124560997,200,
8000,,,1.5003983974456787
8200,-9.248269455675464,200,
8200,,,1.7756048440933228
8400,-11.193775887470279,200,
8400,,,1.2894715070724487
8600,-14.440784659058224,200,
8600,,,1.6195813417434692
8800,-13.783782112143946,200,
8800,,,1.4652338027954102
9000,-10.605628448528693,200,
9000,,,1.3939446210861206
9200,-11.065547435089172,200,
9200,,,1.6338714361190796
9400,-7.5014788169462125,200,
9400,,,1.503880500793457
9600,-11.349900968294651,200,
9600,,,1.5403774976730347
9800,-15.36375455316249,200,
9800,,,1.559586524963379
10000,-9.782860920600275,200,
10000,,,1.555271029472351
