step,episode_reward,episode_length,world_model_loss
13,78.87267,13,0.0
34,6.868868,21,0.0
78,5.316354,44,0.0
98,0.378269,20,0.0
120,1.506306,22,0.0
135,2.030386,15,0.0
171,3.789419,36,0.0
186,1.760622,15,0.0
196,1.076238,10,0.0
241,3.184709,45,0.0
261,1.150137,20,0.0
292,0.514626,31,0.0
324,1.001847,32,0.0
338,1.281773,14,0.0
355,1.384911,17,0.0
404,3.276215,49,0.0
418,1.765362,14,0.0
429,1.065911,11,0.0
445,1.935052,16,0.0
476,1.912522,31,0.0
503,3.155164,27,0.0
526,1.974421,23,0.0
570,5.164978,44,0.0
605,1.30874,35,0.0
638,3.621134,33,0.0
653,1.092413,15,0.0
694,1.986264,41,0.0
722,0.292417,28,0.0
757,1.263897,35,0.0
784,0.821042,27,0.0
823,1.985283,39,0.0
856,1.286246,33,0.0
884,0.720595,28,0.0
901,1.712024,17,0.0
930,0.462326,29,0.0
963,0.794928,33,0.0
1011,3.31802,48,0.0
1038,0.738107,27,0.0
1084,3.381097,46,0.0
1159,7.308489,75,0.0
1194,0.828518,35,0.0
1207,1.291497,13,0.0
1273,5.330874,66,0.0
1306,0.748834,33,0.0
1350,7.342015,44,0.0
1402,8.969297,52,0.0
1437,0.784171,35,0.0
1475,1.24149,38,0.0
1512,1.046151,37,0.0
1562,2.202403,50,0.0
1597,0.924102,35,0.0
1666,10.04547,69,0.0
1714,1.569046,48,0.0
1746,0.597072,32,0.0
1786,0.638288,40,0.0
1879,10.616562,93,0.0
1947,2.448436,68,0.0
2003,1.806757,56,0.0
2062,2.047816,59,0.0
2121,1.90227,59,0.0
2265,14.30082,144,0.0
2396,9.581717,131,0.0
2551,6.893773,155,0.0
2675,7.484255,124,0.0
2786,6.022021,111,0.0
2921,6.913224,135,0.0
3012,5.474164,91,0.0
3120,5.925606,108,0.0
3224,5.602377,104,0.0
3337,6.67184,113,0.0
3425,5.410306,88,0.0
3573,8.741553,148,0.0
3718,8.045557,145,0.0
3927,9.341822,209,0.0
4126,8.796023,199,0.0
4345,9.149106,219,0.0
4907,16.798624,562,0.0
5213,10.206789,306,0.0
5566,11.271455,353,0.0
6225,17.435597,659,0.0
6927,18.282111,702,0.0
7051,3.345437,124,0.0
7467,12.286548,416,0.0
7785,10.365178,318,0.0
8034,8.764079,249,0.0
8224,7.662575,190,0.0
8268,1.505625,44,0.0
8608,10.445237,340,0.0
8847,8.5109,239,0.0
9125,9.275982,278,0.0
9528,11.952694,403,0.0
10321,20.22475,793,0.0
10606,8.480551,285,0.0
11606,21.768969,1000,0.0
12032,13.029718,426,0.0
12502,13.369105,470,0.0
12777,7.310337,275,0.0
13033,8.423883,256,0.0
13756,19.043445,723,0.0
14071,9.888747,315,0.0
14369,10.54565,298,0.0
14709,11.02271,340,0.0
15081,11.051594,372,0.0
15348,8.629332,267,0.0
15609,8.140317,261,0.0
15845,7.472936,236,0.0
16087,8.223914,242,0.0
16187,1.904638,100,0.0
16957,20.035965,770,0.0
17439,12.305722,482,0.0
17566,5.520883,127,0.0
17746,7.341634,180,0.0
17880,5.792997,134,0.0
18019,6.052767,139,0.0
18148,5.832512,129,0.0
18291,6.377866,143,0.0
18419,5.540214,128,0.0
18547,5.72003,128,0.0
18680,6.004283,133,0.0
18815,5.761972,135,0.0
18952,5.76813,137,0.0
19082,5.539147,130,0.0
19233,6.145421,151,0.0
19367,5.649224,134,0.0
19503,5.501341,136,0.0
19658,6.151845,155,0.0
19786,5.14457,128,0.0
19901,4.61872,115,0.0
20033,5.44,132,0.0
20159,5.210357,126,0.0
