step,episode_reward,episode_length,world_model_loss
200,-113.997381,200,0.0
400,-8.691243,200,0.0
600,-6.617197,200,0.0
800,-9.97871,200,0.0
1000,-8.197032,200,0.0
1200,-7.375968,200,0.0
1400,-8.286605,200,0.0
1600,-8.291213,200,0.0
1800,-12.241569,200,0.0
2000,-8.925738,200,0.0
2200,-9.340036,200,0.0
2400,-11.810514,200,0.0
2600,-10.11743,200,0.0
2800,-11.418031,200,0.0
3000,-13.423588,200,0.0
3200,-11.954901,200,0.0
3400,-11.468151,200,0.0
3600,-11.131735,200,0.0
3800,-14.097895,200,0.0
4000,-15.445355,200,0.0
4200,-15.162243,200,0.0
4400,-14.045348,200,0.0
4600,-13.033512,200,0.0
4800,-12.49181,200,0.0
5000,-13.201797,200,0.0
5200,-12.951038,200,0.0
5400,-15.492475,200,0.0
5600,-13.477035,200,0.0
5800,-15.650058,200,0.0
6000,-13.965805,200,0.0
6200,-16.504253,200,0.0
6400,-14.641323,200,0.0
6600,-18.425209,200,0.0
6800,-16.283738,200,0.0
7000,-16.889392,200,0.0
7200,-16.347965,200,0.0
7400,-15.456468,200,0.0
7600,-16.094875,200,0.0
7800,-18.57315,200,0.0
8000,-16.044936,200,0.0
8200,-17.645286,200,0.0
8400,-17.917732,200,0.0
8600,-18.311206,200,0.0
8800,-16.874517,200,0.0
9000,-16.669261,200,0.0
9200,-15.942264,200,0.0
9400,-16.915415,200,0.0
9600,-16.219509,200,0.0
9800,-16.730626,200,0.0
10000,-17.173806,200,0.0
