step,episode_reward,episode_length,world_model_loss
18,83.42295658487971,18,
36,83.42524803137934,18,
60,116.40763050885435,24,
94,149.14116310568522,34,
115,95.55912711021287,21,
149,163.48557162667092,34,
186,179.17618992543515,37,
207,97.09547431704958,21,
228,97.88374221430229,21,
253,118.64442757156814,25,
273,93.47718252894134,20,
311,176.6332964865878,38,
347,173.83068396096337,36,
376,139.06373035352962,29,
394,82.01252851276631,18,
410,72.86962581588342,16,
431,99.35022731469246,21,
449,84.38876003815558,18,
470,100.15921656042399,21,
495,107.75967923583454,25,
514,86.8156640936644,19,
536,102.02779943956664,22,
558,103.08697817175012,22,
577,89.15184547629987,19,
597,91.46605356164571,20,
600,,,503696.78125
637,198.91354158642432,40,
658,97.82470661489842,21,
677,87.99484818390859,19,
702,117.62642276895201,25,
724,102.11114379109534,22,
742,83.35932615407893,18,
764,104.16102497367724,22,
788,109.42684353906611,24,
800,,,293688.65625
809,98.19102021649546,21,
827,83.4344527880278,18,
845,83.53709892793593,18,
862,78.34718706753395,17,
880,83.4031253356289,18,
904,113.6700986510577,24,
923,89.3831388661457,19,
953,140.03825258377552,30,
978,122.6639634113086,25,
1000,,,125453.8515625
1006,129.95630494577506,28,
1024,82.9703051990995,18,
1055,153.37618419215983,31,
1085,141.69004121860655,30,
1107,101.9051616913277,22,
1130,105.51656502483837,23,
1154,117.50189827270876,24,
1172,83.22831939674053,18,
1189,78.36639098390177,17,
1200,,,147666.34375
1208,89.09002832663734,19,
1228,95.01848860051645,20,
1246,83.42885617558494,18,
1270,112.03988553012539,24,
1290,93.12852023234213,20,
1321,133.66040570531757,31,
1348,123.73489989244672,27,
1379,151.75221550569609,31,
1400,,,203381.03125
1404,117.52523782978419,25,
1434,139.5275839586722,30,
1452,83.7251250364058,18,
1489,176.92572320656765,37,
1534,211.85745264567143,45,
1553,87.45573000769141,19,
1572,86.23186863164648,19,
1600,132.00016084921052,28,
1600,,,297652.46875
1637,173.3559959202718,37,
1661,117.26651589958897,24,
1678,78.40579951266746,17,
1700,102.28203947638075,22,
1726,120.45798706174017,26,
1744,83.42258476373239,18,
1767,106.92434769859001,23,
1786,87.75747073545959,19,
1800,,,293760.4375
1809,111.36865569314324,23,
1837,131.00276316073874,28,
1863,124.89265899321387,26,
1886,108.38714112230998,23,
1905,88.3881371008112,19,
1940,166.719791611188,35,
1969,138.86195119044285,29,
2000,,,225985.1875
2002,151.7375163909464,33,
2019,78.27596256513033,17,
2041,106.1073490668828,22,
2061,95.31936560799207,20,
2082,98.20099787330444,21,
2109,118.10228035417174,27,
2131,105.65450950213429,22,
2179,215.76429128849304,48,
2199,93.48771139808976,20,
2200,,,271528.34375
2217,82.84153635925468,18,
2234,78.55329591751523,17,
2266,149.20056625409512,32,
2286,94.81024480091385,20,
2307,97.34045914227029,21,
2324,78.64400266415348,17,
2344,92.85458817247597,20,
2383,177.19111731147606,39,
2400,,,162203.375
2403,94.38862598732638,20,
2423,94.62220025709621,20,
